product_id,sku
298,0
3839,00000001
12,00001
384,00003
188,00004
5361,00005
6007,00006
6512,00007
8302,00008
6583,00010
11025,000104
11016,000105
10958,000106
10957,000107
10956,000108
10955,000109
10954,000110
8067,000111
8068,000112
8069,000113
8070,000114
8071,000115
8072,000116
8073,000117
8074,000119
8301,00012
8075,000120
8076,000121
8077,000122
8078,000123
8079,000124
8080,000125
8081,000126
8082,000127
8092,000129
7193,00013
10991,000134
11017,000136
11018,000137
7194,00014
7196,00015
9157,000155
9158,000156
9159,000157
7197,00016
8882,00017
9224,00018
10321,00019
17939,000199
12047,00020
17941,000205
17946,000206
12648,00021
12660,00022
12661,00023
14892,00027
15237,00028
15,0003
15319,00031
15348,00032
15969,00035
14784,00050
14807,00051
16129,00052
16130,00053
16132,00054
16133,00055
16134,00056
16135,00057
16136,00058
16137,00059
4353,00099
205,00168
12670,010718
12499,010719
11,011
164,0118
176,0130
177,0131
201,0161
206,0169
207,0171
208,0172
5988,05031
15626,0766
15624,0865
4539,10024
4540,10025
4541,10026
4542,10027
7387,10028
11848,10127
4411,10256
15179,10300
15180,10301
15181,10302
15182,10303
15183,10304
15184,10305
15185,10306
15186,10307
15187,10308
16126,10309
16127,10309
18686,10310
18724,10311
18725,10311
18726,10312
18727,10312
15635,1038
15172,10401
15316,10401
74,10402
9427,10402
91,10403
90,10405
14981,10405
92,10406
93,10601
14982,10601
113,10604
17575,10605
114,10606
6655,10625
217,10801
115,10802
333,10803
334,10804
6652,10944
15625,1096
6649,10993
3975,1099999
117,11001
3482,11002
3484,11004
3488,11005
3489,11006
3524,11007
3490,11008
3525,11009
3483,11013
3741,11014
3485,11015
3486,11016
3487,11017
6818,11034
17052,11100
4497,111111
7202,111112
7241,111113
7985,111114
15269,111115
15467,111116
16352,111124
16519,111125
17455,111126
17653,111127
17654,111128
17655,111129
17797,111130
17798,111131
6816,11125
118,11201
14983,11201
6819,11248
119,11401
14984,11401
120,11601
14985,11601
6820,11603
121,11801
14986,11801
122,12001
9430,12001
123,12201
14987,12201
17531,12301
17532,12302
17533,12303
3959,12341214
209,12345
124,12401
220,12403
14835,12403
241,12404
125,12405
9330,12405
242,12417
9441,12417
1929,12418
240,12601
126,12602
14988,12602
266,12605
14834,12605
258,12610
9317,12610
15965,12611
337,12615
6814,12644
6817,12765
127,12801
9431,12801
128,12802
219,12803
2555,12804
15018,12804
255,12805
129,13001
14989,13001
131,132
130,13201
14990,13201
4409,1324567
132,13401
14991,13401
133,13402
9432,13402
134,13403
9433,13403
225,13404
136,13406
9434,13406
137,13407
14992,13407
2615,13408
15019,13408
135,135
139,13602
138,13603
14993,13603
8410,13799
8409,13800
15021,13800
140,13801
141,13802
9435,13802
142,13803
14994,13803
143,13804
15022,13804
223,13805
9440,13805
144,14001
14995,14001
145,14002
14996,14002
146,14003
14997,14003
147,14005
148,14006
1930,14008
149,14201
14998,14201
221,14301
15008,14301
150,14401
14999,14401
151,14402
152,14403
222,14404
9439,14404
154,14405
